ID	ComplaintNo	SR	Datereceived	timereceived	Requestor	Building	department	location	CMType	Description	responseDate	ResponseTime	responsedBy	Response	Inspection	InspectBy	image1	image2	Report	COID	Contractor	Insp_position	Status	DateClose	TimeClose	AggreeBy	Agg_Position	QRef	QDesc	QFile	Staff	Priority	Odometer	Vehicle	DateModify	TimeModify	ModifyBy	TrailerNo	Driver	Jarak_Operasi	MrType	ForTrailer
964067	NULL	MR/24/40600/20/11621	41:25.3	Nov 13 2024 10:41AM	shah	40600	NULL	442061020	NULL	Servis  Mudguard 	11:51.6	Nov 13 2024  3:11PM	1700217		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1700217	NULL	NULL	NULL	NULL	7300063	1	1870638	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
964237	NULL	MR/24/40600/20/11647	37:38.0	Nov 14 2024  2:37PM	shahrul	40600	NULL	442061020	NULL	belt alternator paip jack cabin	22:23.2	Nov 14 2024  5:22PM	1700217		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1700217	NULL	NULL	NULL	NULL	1701390	1	1871228	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
964982	NULL	MR/24/40600/20/11784	14:46.2	Nov 20 2024 12:14PM	shah	40600	NULL	442061020	NULL	Cuci luar dalam	24:07.8	Dec 10 2024 10:24AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	11:31:15 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
965379	NULL	MR/24/40600/20/11855	16:45.5	Nov 22 2024  6:16PM	shahrul	40600	NULL	442061020	NULL	tukar tayar	34:26.7	Nov 27 2024  8:34AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	2:37:23 PM	1700250	NULL	NULL	NULL	NULL	1701390	1	1875545	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
965607	NULL	MR/24/40600/20/11899	43:14.7	Nov 25 2024  2:43PM	shah	40600	NULL	442061020	NULL	Cuci luar dalam	16:18.2	Dec  6 2024  4:16PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	11:31:15 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
965865	NULL	MR/24/40600/20/11956	51:39.0	Nov 27 2024 11:51AM	shah	40600	NULL	442061020	NULL	Pembaikan puspakom	11:57.7	Nov 29 2024 10:11AM	1700217		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1700217	NULL	NULL	NULL	NULL	7300063	1	1877456	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
965866	NULL	MR/24/40600/20/11957	52:12.2	Nov 27 2024 11:52AM	shah	40600	NULL	442061020	NULL	Cuci puspakom	31:31.6	Dec  5 2024 10:31AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	11:31:15 AM	1701456	NULL	NULL	NULL	NULL	7300063	1	1877456	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
965867	NULL	MR/24/40600/20/11958	52:51.6	Nov 27 2024 11:52AM	Shah 	40600	NULL	442061020	NULL	Tayar puspakom	39:33.5	Nov 30 2024 12:39PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	2:37:23 PM	1700250	NULL	NULL	NULL	NULL	7300063	1	1877456	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
966800	NULL	MR/24/40600/20/12105	12:22.8	Dec  4 2024 12:12PM	shahrul	40600	NULL	442061020	NULL	studnut	46:45.6	Dec 10 2024  3:46PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701390	1	1877560	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
967189	NULL	MR/24/40600/20/12205	26:32.9	Dec  7 2024  8:26AM	SHAHRUL	40600	NULL	442061020	NULL	#NAME?	04:41.3	Dec 30 2024 11:04AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701306	1	1878636	WRH311	NULL	NULL	NULL	TWC825	42005468	0	1	0
967379	NULL	MR/24/40600/20/12233	24:42.2	Dec  9 2024 11:24AM	shahrul	40600	NULL	442061020	NULL	bdown di gebeng 6/12/24 gear x boleh masuk	36:08.0	Dec 12 2024 12:36PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701390	1	0	WRH311	NULL	NULL	NULL	TWC825	42005468	0	1	0
